trait,n_instruments,dropped,F_mean,ivw_b,ivw_se,ivw_p,ivw_lo,ivw_hi,Q,Q_p,wm_b,wm_se,wm_p,egger_b,egger_se,egger_p,egger_int,egger_int_se,egger_int_p
QT interval (GCST90165290),35,5,78.0,-0.8661,1.5228,5.70e-01,-3.8509,2.1186,49.7,0.040,-2.6462,2.2646,2.43e-01,4.3414,2.9834,1.46e-01,-0.0959,0.0479,0.045
Resting heart rate (Zhu 2019),21,0,93.2,0.3598,0.8,6.53e-01,-1.2083,1.9278,95.7,0.000,0.5411,0.6429,4.00e-01,0.0639,1.7703,9.71e-01,0.0053,0.0282,0.850
PR interval (GCST010321),35,4,98.4,4.0388,1.111,2.78e-04,1.8612,6.2164,71.3,0.000,4.3021,1.4685,3.39e-03,2.4608,2.2228,2.68e-01,0.0301,0.0366,0.412
