"id.exposure","exposure","id.outcome","outcome","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ieu-b-4877","smoking initiation || id:ieu-b-4877","JjeoTR","AF & flutter (FinnGen R11)",28,-0.0128261037897837,0.0733597249243058,0.861206540723261,-0.156611164641423,0.130958957061856,0.987255800136056,0.855036462597856,1.13992099464499
"ukb-b-19953","Body mass index (BMI) || id:ukb-b-19953","JjeoTR","AF & flutter (FinnGen R11)",378,0.484339643105747,0.057340708094048,2.99657627704813e-17,0.371951855241413,0.596727430970081,1.62310282772972,1.45056314259967,1.81616553738073
"ukb-b-5237","Coffee intake || id:ukb-b-5237","JjeoTR","AF & flutter (FinnGen R11)",18,0.148499786945382,0.160039582643956,0.35346249726768,-0.165177795036771,0.462177368927535,1.16009255061133,0.847742966196241,1.5875268561914
"ukb-b-5779","Alcohol intake frequency. || id:ukb-b-5779","JjeoTR","AF & flutter (FinnGen R11)",38,0.0408934682760956,0.0845032594790204,0.628437178699163,-0.124732920302784,0.206519856854976,1.04174112115641,0.882732631067876,1.22939214583624
