"id.exposure","exposure","id.outcome","outcome","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ieu-b-4877","smoking initiation || id:ieu-b-4877","ebi-a-GCST006414","ebi-a-GCST006414",29,0.00378658555528813,0.0523691386651872,0.942358654070877,-0.0988569262284788,0.106430097339055,1.00379376372777,0.905872305319579,1.11230017098634
"ukb-b-19953","Body mass index (BMI) || id:ukb-b-19953","ebi-a-GCST006414","ebi-a-GCST006414",388,0.336794080778908,0.0397676565943583,2.47412685672057e-17,0.258849473853966,0.41473868770385,1.40045065433712,1.29543879274231,1.51397506869581
"ukb-b-5237","Coffee intake || id:ukb-b-5237","ebi-a-GCST006414","ebi-a-GCST006414",19,0.0126584704629275,0.113100220833856,0.910884779176202,-0.209017962371431,0.234334903297286,1.01273892803166,0.811380661191708,1.26406776178805
"ukb-b-5779","Alcohol intake frequency. || id:ukb-b-5779","ebi-a-GCST006414","ebi-a-GCST006414",38,-0.0321348712961256,0.0554376706804878,0.562145490935116,-0.140792705829882,0.0765229632376306,0.968375967149467,0.868669363129954,1.0795269794871
