"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"ukb-b-5237","ebi-a-GCST006414","AF (Nielsen 2018, AFGen+)","Coffee intake (cups/day, UKB)","MR Egger",39,0.0928221898277248,0.238972102643013,0.699929338032141,-0.37556313135258,0.56120751100803,1.09726661275577,0.686902353604869,1.7527877334383
"ukb-b-5237","ebi-a-GCST006414","AF (Nielsen 2018, AFGen+)","Coffee intake (cups/day, UKB)","Weighted median",39,0.10300363431577,0.120696141045525,0.393430413595955,-0.133560802133459,0.339568070764999,1.10849543769114,0.874974267058079,1.40434088366224
"ukb-b-5237","ebi-a-GCST006414","AF (Nielsen 2018, AFGen+)","Coffee intake (cups/day, UKB)","Inverse variance weighted",39,0.19702989217421,0.117594974575686,0.0938369841566998,-0.0334562579941345,0.427516042342555,1.21778044226697,0.967097213078179,1.53344377950148
"ukb-b-5237","ebi-a-GCST006414","AF (Nielsen 2018, AFGen+)","Coffee intake (cups/day, UKB)","Simple mode",39,0.0607804572685748,0.273129364878366,0.825090324094156,-0.474553097893022,0.596114012430172,1.06266558806981,0.62216304031821,1.81505180939418
"ukb-b-5237","ebi-a-GCST006414","AF (Nielsen 2018, AFGen+)","Coffee intake (cups/day, UKB)","Weighted mode",39,0.0354409632926038,0.121795710457684,0.772643677872626,-0.203278629204456,0.274160555789664,1.03607647977852,0.816050834151212,1.31542598454269
