endpoint,n_cases,n_controls,n_snps,IVW_OR,IVW_lo,IVW_hi,IVW_P,Q,Q_P,phi,WM_OR,WM_lo,WM_hi,WM_P,Egger_intercept,Egger_int_se,Egger_int_P,MDE80_OR,IVW_BH,role
I9_AF,63532,252810,40,1.5465516891394653,1.0967156380525858,2.1808954337764708,0.0129022496179414,118.68860494359066,5.617044787574855e-10,3.043297562656171,1.4773773281348714,0.987473458596034,2.210331579737001,0.0576074946261147,-0.0019844469793933,0.0057555956731545,0.7321565725698161,1.6344218562647443,,positive control
CARDIAC_ARRHYTM,92926,288216,40,1.4309394983362314,1.1441440211419631,1.7896242169364838,0.0016896990207504,96.7326414640854,8.264382414672481e-07,2.480324140104753,1.2424998295975482,0.9544643639563152,1.6174577960676957,0.1066056278349376,-0.0039012958358451,0.0036972906743788,0.2980072456907537,1.3767364714777677,,superset (includes AF; not in specificity family)
I9_PAROXTAC,12878,252810,40,1.1201051839511191,0.8271307492803239,1.5168528363935363,0.4634545928766366,32.72525026011811,0.7504716551250856,1.0,0.8699250519391774,0.5258816740601007,1.439049187907036,0.587384441263223,-0.0064529564348394,0.0050190960281476,0.2063343928484207,1.5425079816955083,0.6409762085426317,specificity
I9_OTHARR,39265,375343,40,1.047774440588655,0.8483885364364773,1.2940194630188395,0.6647732765915382,55.70191525975203,0.0403541240572466,1.4282542374295393,1.068494262473226,0.7846614957972977,1.4549968299108873,0.674072743499662,-0.0064714696040487,0.0033801903262499,0.0631042524119101,1.3521833511472314,0.6647732765915382,specificity
I9_AVBLOCK,7850,375343,40,1.4132997552305273,0.8680865583704733,2.3009412815746324,0.1641903533450786,63.23708666415349,0.0083483197621088,1.6214637606193203,1.135348945537952,0.5899214410880613,2.185065905990217,0.7039292834900653,-0.0021234534980113,0.0081666503472016,0.7962557299823964,2.0070523464721965,0.6409762085426317,specificity
I9_CONDUCTIO,14027,375343,40,1.1408248755683414,0.7909889230588095,1.6453851106822104,0.4807321564069738,63.52960334259805,0.0078158602599242,1.6289641882717447,0.9524585799832416,0.5720502215056996,1.5858351460749402,0.8514566163451864,-0.0039230246044884,0.0061093972717065,0.5246442461118785,1.6878773841889578,0.6409762085426317,specificity
